"movieCd","movieNm","movieNmEn","prdtYear","openDt","typeNm","prdtStatNm","nationAlt","genreAlt","repNationNm","repGenreNm","directors","companys"
"20262452","못생긴 남자가 맛있다는 여후배","","2026","20260327","장편","개봉","한국","성인물(에로)","한국","성인물(에로)","","(주)샤이커뮤니케이션즈"
"20261906","명탐정 코난: 세기말의 마술사","Detective Conan the Movie: The Last Wizard of the Century","1999","20260327","장편","개봉","일본","애니메이션","일본","애니메이션","코다마 켄지",""
"20262462","나이트에서 원나잇 해준 여대생","","2026","20260327","장편","개봉","한국","성인물(에로)","한국","성인물(에로)","","(주)샤이커뮤니케이션즈"
"20262787","원 오크 록 디톡스 투어 인 시네마","ONE OK ROCK DETOX JAPAN TOUR 2025 AT NISSAN STADIUM IN CINEMAS","2026","20260422","장편","개봉예정","한국","공연","한국","공연","",""
"20262661","스크림 7","SCREAM 7","2025","20260401","장편","개봉예정","미국","공포(호러)","미국","공포(호러)","케빈 윌리엄슨",""
"20261622","위 리브 인 타임","We Live in Time","2024","20260408","장편","개봉예정","프랑스","멜로/로맨스,드라마","프랑스","멜로/로맨스","존 크로울리",""
"20254121","살목지","Salmokji : Whispering Water","2025","20260408","장편","개봉예정","한국","공포(호러),스릴러","한국","공포(호러)","이상민","더램프(주)"
"20262685","란 12.3","","2026","20260422","장편","개봉예정","한국","다큐멘터리","한국","다큐멘터리","이명세","㈜프로덕션에므"
"20262463","오피셜히게단디즘 라이브 앳 스타디움 2025","OFFICIAL HIGE DANDISM LIVE at STADIUM 2025","2025","20260402","장편","개봉예정","일본","공연","일본","공연","",""
"20262653","마법 숲 동물 친구들 대모험","3 Little Kungpoo Goats","2023","20260401","장편","개봉예정","아랍에미리트연합국정부","애니메이션,어드벤처","아랍에미리트연합국정부","애니메이션","",""
"20262461","아저씨의 애무에 넘어간 아가씨","","2026","20260326","장편","개봉","한국","성인물(에로)","한국","성인물(에로)","","(주)샤이커뮤니케이션즈"
"20262420","강압적 대물에 푹 빠진 육덕녀","","2026","20260326","장편","개봉","한국","성인물(에로)","한국","성인물(에로)","","(주)샤이커뮤니케이션즈"
"20262291","뮤지컬 장수탕 선녀님","","2026","20260326","장편","개봉","한국","뮤지컬,공연","한국","뮤지컬","조윤수","(주)영화사 그램"
"20255361","파이 굽는 엄마","","2025","20260326","장편","개봉","한국","다큐멘터리","한국","다큐멘터리","이종은","제이리미디어"
"20262648","런닝맨: 라이트&쉐도우","Running Man: Light & Shadow","2023","20260411","장편","개봉예정","한국","애니메이션","한국","애니메이션","윤준상","(주)로커스"
"20258158","극장의 시간들","Time of Cinema","2025","20260318","장편","개봉","한국","드라마","한국","드라마","이종필, 윤가은, 장건재","(주)티캐스트"
"20259598","두 검사","Two Prosecutors","2025","20260401","장편","개봉예정","프랑스,독일,네덜란드","기타","프랑스","기타","세르게이 로즈니차",""
"20242837","왕과 사는 남자","The King's Warden","2025","20260204","장편","개봉","한국","사극,드라마","한국","사극","장항준","(주)온다웍스, (주)비에이엔터테인먼트"
"20247490","누룩","The Yeast","2024","20260415","장편","개봉예정","한국","가족,미스터리,드라마","한국","가족","장동윤","(주)1031스튜디오"
"20259339","힌드의 목소리","The Voice of Hind Rajab","2025","20260415","장편","개봉예정","프랑스","드라마","프랑스","드라마","",""
"20262204","류이치 사카모토: 도쿄 멜로디 ","Tokyo melody: un film sur Ryuichi Sakamoto","1985","20260415","장편","개봉예정","프랑스","다큐멘터리","프랑스","다큐멘터리","엘리자베스 레나드",""
"20261782","프로젝트 헤일메리","PROJECT HAIL MARY","2026","20260318","장편","개봉","미국","SF","미국","SF","필 로드",""
"20262430","왜(歪): 더 카르텔","","2025","20260325","장편","개봉","한국","다큐멘터리","한국","다큐멘터리","",""
"20259773","슈퍼 마리오 갤럭시","THE SUPER MARIO GALAXY MOVIE","2026","20260429","장편","개봉예정","미국","애니메이션","미국","애니메이션","",""
"20262811","극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.","GIRLS BAND CRY The Movie: Hey, Our Future","2025","20260416","장편","개봉예정","일본","애니메이션","일본","애니메이션","사카이 카즈오",""
"20241575","메소드연기","METHOD ACTING","2024","20260318","장편","개봉","한국","드라마,코미디","한국","드라마","이기혁","(주)런업컴퍼니"
"20257521","프로텍터","Protector","2025","20260325","장편","개봉","한국","액션","한국","액션","애드리언 그런버그","(주)아낙시온"
"20233613","열여덟 청춘","18 Youth","2023","20260325","장편","개봉","한국","드라마","한국","드라마","어일선","(주)26컴퍼니"
"19868242","연지구 디 오리지널 4K","Rouge","1987","20260325","장편","개봉","홍콩","판타지,멜로/로맨스","홍콩","판타지","관금붕",""
"20262451","아빠 나이 아저씨에 빠진 어린 도우미","","2026","20260325","장편","개봉","한국","성인물(에로)","한국","성인물(에로)","","(주)샤이커뮤니케이션즈"
"20262441","퀸 락 몬트리올","Queen Rock Montréal","2024","20260415","장편","개봉예정","영국","공연","영국","공연","사울 스위머",""
"20253247","사랑, 우유, 그리고 치즈","HOLY COW","2024","20260325","장편","개봉","프랑스","코미디,드라마","프랑스","코미디","",""
"20250339","김~치!","KIM~CHI!","2025","20260325","장편","개봉","한국","가족,드라마","한국","가족","박철현","(주)샾엔터"
"20262450","글래머라 더 맛있는 여직원","","2026","20260325","장편","개봉","한국","성인물(에로)","한국","성인물(에로)","","(주)샤이커뮤니케이션즈"
"20240532","짱구","Audition 109","2025","20260422","장편","개봉예정","한국","드라마","한국","드라마","정우, 오성호","(주)팬엔터테인먼트"
"20241501","매드 댄스 오피스","Mad Dance Office","2024","20260304","장편","개봉","한국","드라마,코미디","한국","드라마","조현진","(주)컨텐츠 크리에이티브 그룹 문"
"20249023","아스카 새엄마의 오일 소프마사지","","2024","20260313","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20249029","아내가 임신중이라 처형이 위로해준 휴일","","2024","20260313","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20249079","새엄마의 입술을 빼앗고 몸을 훔쳤다","","2024","20260313","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20249028","남편은 사랑하지만 몸은 젊은 새아들을 원해","","2024","20260313","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20250521","잠든 남편 옆 부하 직원과 불륜 쾌락","","2025","20260312","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20250761","이상성욕 내 아내를 가져 주세요","","2025","20260312","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20250768","외간 남자 품에 안겨 느끼는 유부녀","","2025","20260312","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20250488","남편 몰래 이웃과 아랫도리 공유","","2025","20260312","장편","개봉","일본","성인물(에로)","일본","성인물(에로)","",""
"20247648","내 이름은","My Name","2025","20260415","장편","개봉예정","한국","드라마","한국","드라마","정지영","㈜렛츠필름, (주)아우라픽처스"
"20262179","펫 트레인","Pets on a Train","2025","20260328","장편","개봉예정","프랑스","애니메이션","프랑스","애니메이션","",""
"20262202","침묵의 친구","Silent Friend","2025","20260415","장편","개봉예정","독일","드라마","독일","드라마","",""
"20261731","류이치 사카모토: 다이어리","Ryuichi Sakamoto: Diaries","2025","20260401","장편","개봉예정","일본","다큐멘터리","일본","다큐멘터리","",""
"20261308","렌탈 패밀리: 가족을 빌려드립니다","Rental Family","2025","20260225","장편","개봉","미국","드라마,코미디","미국","드라마","",""
"20244564","새벽의 Tango","Tango at Dawn","2024","20260422","장편","개봉예정","한국","드라마","한국","드라마","김효은","한국영화아카데미"
