"rank","movieCd","movieNm","movieNmEn","movieNmOg","boxOfficeOpenDt","movieInfoOpenDt","prdtYear","showTm","typeNm","prdtStatNm","nationNm","genreNm","directorNm","actorNm","companyNm","auditNo","watchGradeNm","boxOfficeSalesAcc","boxOfficeAudiAcc","boxOfficeScrnCnt","boxOfficeShowCnt"
"1","20129370","명량","The Admiral: Roaring Currents","","2014-07-30","20140730","2013","128","장편","개봉","한국","사극 | 액션","김한민","최민식 | 류승룡 | 조진웅 | 김명곤 | 진구 | 이정현 | 권율 | 노민우 | 이승준 | 오타니 료헤이","(주)빅스톤픽쳐스 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2014-MF00753 ","15세이상관람가","135764155310","17616661","1587","188734"
"2","20182530","극한직업","Extreme Job","","2019-01-23","20190123","2018","111","장편","개봉","한국","코미디","이병헌","류승룡 | 이하늬 | 진선규 | 이동휘 | 공명 | 양현민 | 장진희 | 오정세 | 이중옥 | 송영규","(주)어바웃잇 [제작사] | 영화사 해그림 주식회사 [제작사] | (주)씨제이이엔엠 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2018-MF02462","15세이상관람가","139658409516","16266641","2003","292821"
"3","20242837","왕과 사는 남자","The King's Warden","","2026-02-04","20260204","2025","116","장편","개봉","한국","사극 | 드라마","장항준","유해진 | 박지훈 | 유지태 | 전미도 | 김민 | 이준혁 | 김수진 | 오달수 | 박순정 | 강준","(주)온다웍스 [제작사] | (주)비에이엔터테인먼트 [제작사] | (주)쇼박스 [배급사] | (주)쇼박스 [제공]","2026-MF00002","12세이상관람가","148838335250","15427390","2262","392893"
"4","20150976","신과함께-죄와 벌","Along with the Gods: The Two Worlds","","2017-12-20","20171220","2017","139","장편","개봉","한국","판타지 | 드라마","김용화","하정우 | 차태현 | 주지훈 | 김향기 | 김동욱 | 오달수 | 임원희 | 도경수 | 이준혁 | 예수정","리얼라이즈픽쳐스(주) [제작사] | (주)덱스터스튜디오 [제작사] | 롯데쇼핑㈜롯데엔터테인먼트 [배급사] | 롯데쇼핑㈜롯데엔터테인먼트 [제공] | (주)덱스터스튜디오 [제공] | 롯데쇼핑㈜롯데엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2017-MF02022","12세이상관람가","115727528087","14414658","1912","214631"
"5","20137048","국제시장","Ode to My Father","","2014-12-17","20141217","2014","126","장편","개봉","한국","드라마","윤제균","황정민 | 김윤진 | 오달수 | 정진영 | 장영남 | 라미란 | 김슬기 | 정영기 | 맹세창 | 박재우","(주)제이케이필름 [제작사] | (주)씨제이이엔엠 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | 디지털 아이디어 [제작서비스-후반작업] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2014-MF01246 ","12세이상관람가","110979051230","14269317","1044","212756"
"6","20184889","어벤져스: 엔드게임","Avengers: Endgame","","2019-04-24","20190424","2018","180","장편","개봉","미국","액션 | SF","조 루소 | 안소니 루소","로버트 다우니 주니어 | 크리스 에반스 | 마크 러팔로 | 크리스 헴스워스 | 스칼렛 요한슨 | 제레미 레너 | 돈 치들 | 폴 러드 | 브리 라슨 | 카렌 길런","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2019-MF00676 | 2019-MF00709","12세이상관람가 | 12세이상관람가","122490648020","13977409","2835","246411"
"7","20197803","겨울왕국 2","Frozen 2","","2019-11-21","20191121","2019","103","장편","개봉","미국","애니메이션","제니퍼 리 | 크리스 벅","크리스틴 벨 | 이디나 멘젤 | 조시 게드 | 조나단 그로프","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2019-MF02288","전체관람가","115033955041","13768797","2648","301536"
"8","20148048","베테랑","Veteran","","2015-08-05","20150805","2014","123","장편","개봉","한국","액션 | 드라마","류승완","황정민 | 유아인 | 유해진 | 오달수 | 장윤주 | 김시후 | 오대환 | 정웅인 | 정만식 | 송영창","(주)외유내강 [제작사] | (주)필름케이 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (주)포스크리에이티브파티 [제작서비스-시각효과/특수효과] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2014-MF01401 ","15세이상관람가","105171985250","13414649","1115","199360"
"9","20090834","아바타","Avatar","","2009-12-17","20091217","2009","161","장편","개봉","미국","SF | 액션 | 어드벤처","제임스 카메론","샘 워싱턴 | 조 샐다나 | 시고니 위버","이십세기폭스필름코퍼레이션 [제작사] | 주식회사 해리슨앤컴퍼니 [배급사] | 이십세기폭스코리아(주) [배급사] | 주식회사 해리슨앤컴퍼니 [수입사] | 이십세기폭스코리아(주) [수입사]","2009-F430 | 2018-MF00904","12세이상관람가 | 12세이상관람가","125297849000","13337833","910","164437"
"10","20212866","서울의 봄","12.12: THE DAY","","2023-11-22","20231122","2022","141","장편","개봉","한국","드라마","김성수","황정민 | 정우성 | 이성민 | 박해준 | 김성균 | 김의성 | 정동환 | 안내상 | 유성주 | 최병모","(주)하이브미디어코프 [제작사] | 메가박스중앙(주) 플러스엠 엔터테인먼트 [배급사] | 메가박스중앙(주) 플러스엠 엔터테인먼트 [제공] | 메가박스중앙(주) 플러스엠 엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2023-MF02836 ","12세이상관람가","127931462212","13128587","2463","374551"
