movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
2181,TMDB-1122573,인 더 그레이,2026-05-13,https://image.tmdb.org/t/p/w500/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,,TMDB_TRENDING
2183,TMDB-1430077,호쿰,2026-04-29,https://image.tmdb.org/t/p/w500/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,,TMDB_TRENDING
2180,TMDB-454639,마스터즈 오브 유니버스,2026-06-03,https://image.tmdb.org/t/p/w500/u3g020QxrnsMdHDw0vvv1NjeFJA.jpg,,TMDB_TRENDING
2178,TMDB-1274706,신원 미상의 여자,2026-06-05,https://image.tmdb.org/t/p/w500/diKhdwtx2Ij3Qx2bnYIcSLT0EKT.jpg,,TMDB_TRENDING
2182,TMDB-1288341,세븐 스나이퍼스,2026-04-30,https://image.tmdb.org/t/p/w500/pK6tGCG6UAgUT5FTq3ylGErHxQQ.jpg,,TMDB_TRENDING
899,TMDB-1273221,무서운 영화,2026-06-03,https://image.tmdb.org/t/p/w500/2OHkZEqQL4OjYXIqWopJu0BijTD.jpg,,TMDB_TRENDING
2179,TMDB-1530510,멕시코 1986,2026-05-21,https://image.tmdb.org/t/p/w500/xOL58rwFCq7Zw0yg8OeLTU59NSt.jpg,,TMDB_TRENDING
2177,TMDB-1358005,오피스 로맨스,2026-06-04,https://image.tmdb.org/t/p/w500/udcNzdIqZMiVYYvq50XDEPhpJks.jpg,,TMDB_TRENDING
57,20060337,디파티드,2006-10-04,https://image.tmdb.org/t/p/w500/j7REKrvSiC2GSsvXfxyAvXQVj7q.jpg,,SOCIAL_POST
669,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,https://image.tmdb.org/t/p/w500/eDps1ZhI8IOlbEC7nFg6eTk4jnb.jpg,,SOCIAL_POST
447,20173724,직쏘,2017-10-25,https://image.tmdb.org/t/p/w500/7cI6V7M6S64o9VGZYTIQCcACAsT.jpg,,SOCIAL_POST
4,20040725,화양연화,2000-09-29,https://image.tmdb.org/t/p/w500/mjkr1IamzDiL5mLIbnuhiYOXLqg.jpg,,SOCIAL_POST
159,20090579,디스트릭트 9,2009-08-05,https://image.tmdb.org/t/p/w500/gzMNQLELXzlssBUuTrZV3WmqBQO.jpg,,SOCIAL_POST
512,20191061,007 노 타임 투 다이,2021-09-29,https://image.tmdb.org/t/p/w500/68ZwnPALUeweaFdT1z75oXJ4Xie.jpg,,SOCIAL_POST
398,20157432,007 스펙터,2015-10-26,https://image.tmdb.org/t/p/w500/reI1K84d4lgMwfWs583PmpWQsQ5.jpg,,SOCIAL_POST
375,20153083,사우스포,2015-07-22,https://image.tmdb.org/t/p/w500/obil8TW9l54Tj0Wa5MSXDBOQVGQ.jpg,,SOCIAL_POST
