movie_id,movie_cd,title,status,provider_count,link_count,providers,kinolights_url
2817,TMDB-1339713,Obsession,NO_LINK,0,0,,https://m.kinolights.com/title/117355
2913,TMDB-1228710,만달로리안과 그로구,SUCCESS,3,3,CGV / Lotte Cinema / Megabox,https://m.kinolights.com/title/146829
2979,TMDB-1083381,백룸,SUCCESS,3,3,CGV / Lotte Cinema / Megabox,https://m.kinolights.com/title/147899
770,TMDB-931285,모탈 컴뱃 2,SUCCESS,3,3,CGV / Lotte Cinema / Megabox,https://m.kinolights.com/title/151267
3011,TMDB-539745,동물농장,SUCCESS,2,2,Wavve / Watcha,https://m.kinolights.com/title/37798
3009,TMDB-1242265,퓨즈,NO_LINK,0,0,,https://m.kinolights.com/title/151499
2978,TMDB-1390300,오버 유어 데드 바디,NO_LINK,0,0,,https://m.kinolights.com/title/150266
3013,TMDB-898704,데저트 워리어,NO_LINK,0,0,,https://m.kinolights.com/title/151965
772,TMDB-1226863,슈퍼 마리오 갤럭시,SUCCESS,3,3,CGV / Lotte Cinema / Megabox,https://m.kinolights.com/title/146721
771,TMDB-936075,마이클,SUCCESS,3,3,CGV / Lotte Cinema / Megabox,https://m.kinolights.com/title/147744
865,TMDB-1321179,왕과 사는 남자,SUCCESS,7,7,CGV / Lotte Cinema / Megabox / Coupang Play / Wavve / Apple TV / Watcha,https://m.kinolights.com/title/148606
901,TMDB-1461254,살목지,SUCCESS,6,6,CGV / Lotte Cinema / Megabox / Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/142768
274,20124079,"광해, 왕이 된 남자",SUCCESS,4,4,Netflix / TVING / Wavve / Watcha,https://m.kinolights.com/title/9773
761,TMDB-736820,공조 2: 인터내셔날,SUCCESS,4,4,Netflix / TVING / Wavve / Watcha,https://m.kinolights.com/title/90599
642,20228796,하얼빈,SUCCESS,2,2,Netflix / TVING,https://m.kinolights.com/title/124296
776,TMDB-1318447,정점,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/149344
773,TMDB-1292695,데이 윌 킬 유,NO_LINK,0,0,,https://m.kinolights.com/title/150620
710,20256396,아바타: 불과 재,SUCCESS,2,2,Coupang Play / Apple TV,https://m.kinolights.com/title/117617
777,TMDB-1327819,호퍼스,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/144984
774,TMDB-1297842,고트: 더 레전드,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/150922
700,20253289,극장판 귀멸의 칼날: 무한성편,NO_LINK,0,0,,https://m.kinolights.com/title/135303
699,20252432,주토피아 2,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/119593
897,TMDB-1007757,뒤바뀐 친구들의 신비한 모험,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/151258
801,TMDB-1304313,리 크로닌의 미이라,SUCCESS,3,3,Apple TV / Coupang Play / Wavve,https://m.kinolights.com/title/150987
362,20149120,인터스텔라,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/10524
1865,TMDB-24428,어벤져스,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/41311
2153,TMDB-502356,슈퍼 마리오 브라더스,SUCCESS,1,2,Coupang Play,https://m.kinolights.com/title/115800
2007,TMDB-299536,어벤져스: 인피니티 워,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/62415
1622,TMDB-603,매트릭스,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/7220
706,20254375,프레데터: 죽음의 땅,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/143005
1562,TMDB-238,대부,SUCCESS,3,3,Wavve / Coupang Play / Apple TV,https://m.kinolights.com/title/13392
720,20258739,극장판 주술회전: 시부야사변 X 사멸회유,SUCCESS,5,5,Netflix / TVING / Wavve / Watcha / Laftel,https://m.kinolights.com/title/101564
1873,TMDB-27205,인셉션,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/41164
1131,20030316,반지의 제왕: 왕의 귀환,SUCCESS,3,3,Netflix / Prime Video / Coupang Play,https://m.kinolights.com/title/5155
722,20259147,케이팝 데몬 헌터스,SUCCESS,1,2,Netflix,https://m.kinolights.com/title/143536
1541,TMDB-120,반지의 제왕: 반지 원정대,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/5269
717,20258383,나우 유 씨 미 3,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/143188
2006,TMDB-299534,어벤져스: 엔드게임,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/68086
487,20183238,스파이더맨: 뉴 유니버스,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/62658
715,20257570,8번 출구,SUCCESS,3,3,Coupang Play / Wavve / Watcha,https://m.kinolights.com/title/142735
180,20090834,아바타,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/13908
803,TMDB-1325734,더 드라마,NO_LINK,0,0,,https://m.kinolights.com/title/143492
2404,TMDB-1022789,인사이드 아웃 2,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/114858
117,20081056,다크 나이트,NO_LINK,0,0,,https://m.kinolights.com/title/143846
2183,TMDB-533535,데드풀과 울버린,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/110929
616,20225061,아바타: 물의 길,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/104079
1543,TMDB-129,센과 치히로의 행방불명,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/12318
1564,TMDB-240,대부 2,SUCCESS,3,3,Wavve / Coupang Play / Apple TV,https://m.kinolights.com/title/13413
1664,TMDB-807,세븐,SUCCESS,3,3,Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/4729
1542,TMDB-121,반지의 제왕: 두 개의 탑,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/4821
1651,TMDB-769,좋은 친구들,SUCCESS,2,2,TVING / Watcha,https://m.kinolights.com/title/129911
1665,TMDB-808,슈렉,SUCCESS,1,1,Prime Video,https://m.kinolights.com/title/41469
726,TMDB-671,해리 포터와 마법사의 돌,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/6051
1617,TMDB-597,타이타닉,SUCCESS,2,2,Disney+ / Coupang Play,https://m.kinolights.com/title/14043
1830,TMDB-14836,코렐라인: 비밀의 문,SUCCESS,1,1,Wavve,https://m.kinolights.com/title/19057
711,20256397,원 배틀 애프터 어나더,SUCCESS,4,4,Megabox / Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/145054
2368,TMDB-872585,오펜하이머,SUCCESS,3,3,Wavve / Apple TV / Watcha,https://m.kinolights.com/title/110524
8,20050082,이터널 선샤인,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/11455
2040,TMDB-372058,너의 이름은.,SUCCESS,1,1,Wavve,https://m.kinolights.com/title/1836
1507,TMDB-11,스타워즈 에피소드 4: 새로운 희망,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/42481
2395,TMDB-980477,너자 2,SUCCESS,2,2,Wavve / Watcha,https://m.kinolights.com/title/146660
676,20240737,모아나 2,SUCCESS,1,2,Disney+,https://m.kinolights.com/title/131234
1590,TMDB-424,쉰들러 리스트,SUCCESS,4,4,Coupang Play / Wavve / Apple TV / Watcha,https://m.kinolights.com/title/41129
1598,TMDB-497,그린 마일,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/47744
1580,TMDB-348,에이리언,SUCCESS,2,2,Disney+ / Coupang Play,https://m.kinolights.com/title/31686
2205,TMDB-569094,스파이더맨: 어크로스 더 유니버스,SUCCESS,4,4,Watcha / Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/101394
703,20253906,프레디의 피자가게 2,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/144088
